date,AAPL,MSFT
07-12-2009,26.99,29.79
08-12-2009,27.12,29.57
09-12-2009,28.26,29.71
10-12-2009,28.06,29.87
11-12-2009,27.81,29.85
14-12-2009,28.14,30.11
15-12-2009,27.74,30.02
16-12-2009,27.86,30.1
17-12-2009,27.41,29.6
18-12-2009,27.92,30.36
21-12-2009,28.32,30.52
22-12-2009,28.62,30.82
23-12-2009,28.87,30.92
24-12-2009,29.86,31
28-12-2009,30.23,31.17
29-12-2009,29.87,31.39
30-12-2009,30.23,30.96
31-12-2009,30.1,30.48
04-01-2010,30.57,30.95
05-01-2010,30.63,30.96
06-01-2010,30.14,30.77
07-01-2010,30.08,30.45
08-01-2010,30.28,30.66
11-01-2010,30.02,30.27
12-01-2010,29.67,30.07
13-01-2010,30.09,30.35
14-01-2010,29.92,30.96
15-01-2010,29.42,30.86
19-01-2010,30.72,31.1
20-01-2010,30.25,30.58
21-01-2010,29.72,30.01
22-01-2010,28.25,28.96
25-01-2010,29.01,29.32
26-01-2010,29.42,29.5
27-01-2010,29.7,29.67
28-01-2010,28.47,29.16
29-01-2010,27.44,28.18
01-02-2010,27.82,28.41
02-02-2010,27.98,28.46
03-02-2010,28.46,28.63
04-02-2010,27.44,27.84
05-02-2010,27.92,28.02
08-02-2010,27.73,27.72
09-02-2010,28.03,28.01
10-02-2010,27.87,27.99
11-02-2010,28.38,28.12
12-02-2010,28.63,27.93
16-02-2010,29.06,28.35
17-02-2010,28.94,28.59
18-02-2010,28.99,28.97
19-02-2010,28.81,28.77
22-02-2010,28.63,28.73
23-02-2010,28.15,28.33
24-02-2010,28.66,28.63
25-02-2010,28.86,28.6
26-02-2010,29.23,28.67
01-03-2010,29.86,29.02
02-03-2010,29.84,28.46
03-03-2010,29.9,28.46
04-03-2010,30.1,28.63
05-03-2010,31.28,28.59
08-03-2010,31.3,28.63
09-03-2010,31.86,28.8
10-03-2010,32.12,28.97
11-03-2010,32.21,29.18
12-03-2010,32.37,29.27
15-03-2010,31.98,29.29
16-03-2010,32.06,29.37
17-03-2010,32.02,29.63
18-03-2010,32.09,29.61
19-03-2010,31.75,29.59
22-03-2010,32.11,29.6
23-03-2010,32.62,29.88
24-03-2010,32.77,29.65
25-03-2010,32.38,30.01
26-03-2010,32.99,29.66
29-03-2010,33.2,29.59
30-03-2010,33.69,29.77
31-03-2010,33.57,29.29
05-04-2010,34.07,29.27
06-04-2010,34.22,29.32
07-04-2010,34.37,29.35
08-04-2010,34.28,29.92
09-04-2010,34.54,30.34
12-04-2010,34.61,30.32
13-04-2010,34.63,30.45
14-04-2010,35.1,30.82
15-04-2010,35.56,30.87
16-04-2010,35.34,30.67
19-04-2010,35.3,31.04
20-04-2010,34.94,31.36
21-04-2010,37.03,31.33
22-04-2010,38.07,31.39
23-04-2010,38.69,30.96
26-04-2010,38.5,31.11
27-04-2010,37.43,30.84
28-04-2010,37.37,30.91
29-04-2010,38.38,31
30-04-2010,37.3,30.54
03-05-2010,38.05,30.86
04-05-2010,36.95,30.13
05-05-2010,36.57,29.85
06-05-2010,35.18,28.98
07-05-2010,33.69,28.21
10-05-2010,36.28,28.94
11-05-2010,36.65,28.88
12-05-2010,37.44,29.44
13-05-2010,36.91,29.24
14-05-2010,36.26,28.93
17-05-2010,36.32,28.94
18-05-2010,36.05,28.6
19-05-2010,35.48,28.24
20-05-2010,33.97,27.11
21-05-2010,34.62,26.84
24-05-2010,35.25,26.27
25-05-2010,35.03,26.07
26-05-2010,34.87,25.01
27-05-2010,36.19,26
28-05-2010,36.7,25.8
01-06-2010,37.26,25.89
02-06-2010,37.71,26.46
03-06-2010,37.59,26.86
04-06-2010,36.57,25.79
07-06-2010,35.85,25.29
08-06-2010,35.62,25.11
09-06-2010,34.74,24.79
10-06-2010,35.79,25
11-06-2010,36.22,25.66
14-06-2010,36.33,25.5
15-06-2010,37.1,26.58
16-06-2010,38.18,26.32
17-06-2010,38.84,26.37
18-06-2010,39.15,26.44
21-06-2010,38.6,25.95
22-06-2010,39.12,25.77
23-06-2010,38.71,25.31
24-06-2010,38.43,25
25-06-2010,38.1,24.53
28-06-2010,38.33,24.31
29-06-2010,36.6,23.31
30-06-2010,35.93,23.01
01-07-2010,35.5,23.16
02-07-2010,35.28,23.27
06-07-2010,35.52,23.82
07-07-2010,36.95,24.3
08-07-2010,36.87,24.41
09-07-2010,37.09,24.27
12-07-2010,36.76,24.83
13-07-2010,35.97,25.13
14-07-2010,36.1,25.44
15-07-2010,35.92,25.51
16-07-2010,35.7,24.89
19-07-2010,35.08,25.23
20-07-2010,35.98,25.48
21-07-2010,36.32,25.12
22-07-2010,37,25.84
23-07-2010,37.13,25.81
26-07-2010,37.04,26.1
27-07-2010,37.73,26.16
28-07-2010,37.28,25.95
29-07-2010,36.87,26.03
30-07-2010,36.75,25.81
02-08-2010,37.41,26.33
03-08-2010,37.42,26.16
04-08-2010,37.57,25.73
05-08-2010,37.39,25.37
06-08-2010,37.16,25.55
09-08-2010,37.39,25.61
10-08-2010,37.06,25.07
11-08-2010,35.74,24.86
12-08-2010,35.97,24.49
13-08-2010,35.59,24.4
16-08-2010,35.38,24.5
17-08-2010,36,24.71
18-08-2010,36.15,24.82
19-08-2010,35.7,24.44
20-08-2010,35.66,24.23
23-08-2010,35.11,24.28
24-08-2010,34.28,24.04
25-08-2010,34.7,24.1
26-08-2010,34.33,23.82
27-08-2010,34.52,23.93
30-08-2010,34.64,23.64
31-08-2010,34.73,23.46
01-09-2010,35.76,23.9
02-09-2010,36.02,23.94
03-09-2010,36.97,24.29
07-09-2010,36.83,23.96
08-09-2010,37.56,23.93
09-09-2010,37.58,24.01
10-09-2010,37.63,23.85
13-09-2010,38.15,25.11
14-09-2010,38.29,25.03
15-09-2010,38.6,25.12
16-09-2010,39.51,25.33
17-09-2010,39.34,25.22
20-09-2010,40.46,25.43
21-09-2010,40.54,25.15
22-09-2010,41.11,24.61
23-09-2010,41.27,24.43
24-09-2010,41.76,24.78
27-09-2010,41.6,24.73
28-09-2010,40.98,24.68
29-09-2010,41.05,24.5
30-09-2010,40.54,24.49
01-10-2010,40.36,24.38
04-10-2010,39.81,23.91
05-10-2010,41.28,24.35
06-10-2010,41.31,24.43
07-10-2010,41.32,24.53
08-10-2010,42.01,24.57
11-10-2010,42.19,24.59
12-10-2010,42.65,24.83
13-10-2010,42.88,25.34
14-10-2010,43.19,25.23
15-10-2010,44.96,25.54
18-10-2010,45.43,25.82
19-10-2010,44.21,25.1
20-10-2010,44.36,25.31
21-10-2010,44.22,25.42
22-10-2010,43.92,25.38
25-10-2010,44.12,25.19
26-10-2010,44.01,25.9
27-10-2010,43.98,26.05
28-10-2010,43.61,26.28
29-10-2010,43,26.66
01-11-2010,43.45,26.95
02-11-2010,44.19,27.39
03-11-2010,44.69,27.03
04-11-2010,45.47,27.14
05-11-2010,45.3,26.85
08-11-2010,45.52,26.81
09-11-2010,45.15,26.95
10-11-2010,45.43,26.94
11-11-2010,45.24,26.68
12-11-2010,44,26.27
15-11-2010,43.86,26.2
16-11-2010,43.08,25.81
17-11-2010,42.93,25.57
18-11-2010,44.06,25.84
19-11-2010,43.82,25.69
22-11-2010,44.77,25.73
23-11-2010,44.1,25.12
24-11-2010,44.97,25.37
26-11-2010,45,25.25
29-11-2010,45.27,25.31
30-11-2010,44.45,25.26
01-12-2010,45.2,26.04
02-12-2010,45.45,26.89
03-12-2010,45.35,27.02
06-12-2010,45.74,26.84
07-12-2010,45.46,26.87
08-12-2010,45.86,27.23
09-12-2010,45.68,27.08
10-12-2010,45.79,27.34
13-12-2010,45.95,27.24
14-12-2010,45.76,27.62
15-12-2010,45.77,27.85
16-12-2010,45.89,27.99
