date,ozone,pm25,co
11-11-2000,0.002701,3.857895,0.942262
12-11-2000,0.005701,6.25,0.844345
13-11-2000,0.002866,15.8,1.093534
14-11-2000,0.0055,14.757895,1.095652
15-11-2000,0.006062,10.2,0.873512
16-11-2000,0.00475,19.1,0.924621
17-11-2000,0.009104,15.863158,1.044798
18-11-2000,0.007674,12.75,0.906845
19-11-2000,0.004896,22.85,0.924107
20-11-2000,0.005413,29.031579,1.075962
21-11-2000,0.005972,15.6,0.920346
22-11-2000,0.010622,13.2,0.833983
23-11-2000,0.017035,6.666667,0.719048
24-11-2000,0.007708,12.15,0.953274
25-11-2000,0.005813,17.4,1.185777
26-11-2000,0.01225,9.133333,1.010714
27-11-2000,0.001868,12.85,1.168103
28-11-2000,0.002521,18.25,1.264286
29-11-2000,0.003948,19.038889,1.082738
30-11-2000,0.006684,11.65,1.062171
01-12-2000,0.011618,7.5,1.056548
02-12-2000,0.016771,4.910526,0.958929
03-12-2000,0.009754,11.75,1.040672
04-12-2000,0.006259,23.75,1.731069
05-12-2000,0.008715,19.910526,1.378571
06-12-2000,0.009685,8.3,0.9375
07-12-2000,0.004507,17.75,1.110146
08-12-2000,0.00166,24.221053,1.481767
09-12-2000,0.006667,22.1,1.403274
10-12-2000,0.006633,17.8,1.402686
11-12-2000,0.005166,36.977778,1.857497
12-12-2000,0.014633,11.8,1.040166
13-12-2000,0.005636,14.05,1.141519
14-12-2000,0.005024,14.038889,1.270941
15-12-2000,0.005873,15.3,1.166964
16-12-2000,0.009193,15.2,1.198841
17-12-2000,0.01141,7.244444,0.839286
18-12-2000,0.004465,15.2,0.874362
19-12-2000,0.002382,29.9,1.406069
20-12-2000,0.004653,19.427778,0.979688
21-12-2000,0.003167,23.5,1.078515
22-12-2000,0.005979,29.2,1.126165
23-12-2000,0.006399,15.136842,0.834149
24-12-2000,0.006611,25.85,0.913988
25-12-2000,0.023688,7.65,0.579464
26-12-2000,0.014771,9.088889,0.758117
27-12-2000,0.007708,19.15,0.899161
28-12-2000,0.011913,11.9,0.869917
29-12-2000,0.005336,14.39375,1.120238
30-12-2000,0.006521,17.85,0.827826
31-12-2000,0.016088,9.35,0.647917
01-01-2001,0.016681,8,0.752832
02-01-2001,0.012097,12.8,0.981445
03-01-2001,0.006405,24.55,1.21369
04-01-2001,0.004229,27,1.258347
05-01-2001,0.00384,29.75,1.382189
06-01-2001,0.00615,21.65,1.173809
07-01-2001,0.005257,26.115789,1.259127
08-01-2001,0.00279,34.2,2.018182
09-01-2001,0.008708,16.3,1.059219
10-01-2001,0.009363,12.947059,1.001639
11-01-2001,0.005639,26.8,1.250519
13-01-2001,0.004757,23.631579,1.369048
14-01-2001,0.004356,48.85,1.671159
15-01-2001,0.002111,35.6,1.559226
16-01-2001,0.002604,21.4625,1.410687
17-01-2001,0.003474,19.6,1.161905
18-01-2001,0.005701,14.3,1.117089
19-01-2001,0.003044,15.438889,1.188772
20-01-2001,0.007358,18.05,0.804167
21-01-2001,0.016236,11.35,0.612202
22-01-2001,0.005798,26.526316,1.028057
23-01-2001,0.004396,50.75,1.625
24-01-2001,0.005413,41.2,1.428489
25-01-2001,0.009521,29.3,1.233355
26-01-2001,0.005642,19.55,0.971726
27-01-2001,0.008785,23.5,0.904762
28-01-2001,0.017087,12.3,0.744431
29-01-2001,0.005441,26.45,0.933961
30-01-2001,0.00826,23.7,1.169832
31-01-2001,0.006195,23.626316,1.452172
01-02-2001,0.005028,19.3,1.013393
02-02-2001,0.008222,21.1,1.199566
03-02-2001,0.01753,7.236842,0.84494
04-02-2001,0.008546,15.2,0.948135
05-02-2001,0.008423,18.8,1.099351
06-02-2001,0.006785,21.466667,0.984548
07-02-2001,0.012317,15.35,1.033643
08-02-2001,0.005625,22,1.169265
09-02-2001,0.010299,28.352632,1.714286
10-02-2001,0.02385,8.9,0.967857
11-02-2001,0.022965,5.2,0.742829
12-02-2001,0.01224,10.022222,0.873241
13-02-2001,0.007417,25.366667,1.238393
14-02-2001,0.004142,40.8,1.495164
15-02-2001,0.006976,13.105882,1.123512
16-02-2001,0.003579,23,1.369859
17-02-2001,0.020158,12.8,0.913393
18-02-2001,0.014715,9.510526,0.716402
19-02-2001,0.012347,17.6,0.809821
20-02-2001,0.006368,25.5,1.255059
21-02-2001,0.020719,13.4,0.988988
22-02-2001,0.011157,10.15,0.920989
23-02-2001,0.01216,21.55,1.011905
24-02-2001,0.014294,13.905263,0.941071
25-02-2001,0.014847,14.25,1.08811
26-02-2001,0.017604,12.4,1.020766
27-02-2001,0.01707,14.610526,1.019156
28-02-2001,0.023197,8.75,0.916964
01-03-2001,0.014965,14.45,0.953869
02-03-2001,0.004508,27.961111,1.208428
03-03-2001,0.010183,26.4,1.272024
04-03-2001,0.02484,15.1,0.783333
05-03-2001,0.020764,9.316667,0.709416
06-03-2001,0.022954,8.766667,0.723701
